Date,Open,High,Low,Close,Adj Close,Volume
2023-12-30,38503.351563,38997.976563,37469.179688,38080.046875,38080.046875,23517721045
2023-12-31,38073.125000,38518.488281,37588.726563,38132.054688,38132.054688,14485028393
2024-01-01,38127.710938,38768.875000,37988.554688,38291.835938,38291.835938,14855969946
2024-01-02,38305.468750,40025.593750,38219.160156,40018.605469,40018.605469,16696095504
2024-01-03,40036.550781,41609.734375,40027.320313,41089.292969,41089.292969,35950434827
2024-01-04,41092.613281,41576.949219,37371.320313,39215.980469,39215.980469,42413930730
2024-01-05,39222.968750,40898.175781,39071.597656,40360.082031,40360.082031,27815518796
2024-01-06,40372.007813,40487.898438,39058.855469,40313.914063,40313.914063,29517944389
2024-01-07,40328.757813,40373.191406,39686.296875,40155.535156,40155.535156,14690041790
2024-01-08,40164.000000,40606.167969,39920.156250,40161.222656,40161.222656,17666926685
2024-01-09,40166.347656,43114.425781,39537.632813,42895.812500,42895.812500,39037959858
2024-01-10,42911.460938,43821.156250,41395.746094,42206.503906,42206.503906,36426685220
2024-01-11,42189.863281,43423.054688,40645.234375,42488.257813,42488.257813,45665538159
2024-01-12,42514.039063,44721.179688,41601.871094,42220.636719,42220.636719,41733631991
2024-01-13,42208.078125,42365.242188,38219.421875,39085.343750,39085.343750,39522714682
2024-01-14,39036.347656,39433.296875,38730.527344,39075.507813,39075.507813,18790462489
2024-01-15,39075.402344,39279.097656,38120.484375,38186.703125,38186.703125,16008261347
2024-01-16,38112.511719,39562.125000,38103.695313,38840.464844,38840.464844,20392557029
2024-01-17,38828.925781,40061.847656,38703.335938,39669.707031,39669.707031,22119531074
2024-01-18,39648.707031,39708.308594,38844.625000,39262.972656,39262.972656,19153733750
2024-01-19,39262.660156,39384.753906,37389.371094,37918.718750,37918.718750,23174989410
2024-01-20,37933.789063,38683.203125,37031.347656,38166.160156,38166.160156,23616244981
2024-01-21,38171.828125,38404.121094,38008.808594,38209.425781,38209.425781,10625574894
2024-01-22,38214.839844,38383.464844,38102.636719,38144.265625,38144.265625,8579009413
2024-01-23,38151.488281,38205.152344,36241.128906,36317.148438,36317.148438,28808107460
2024-01-24,36327.578125,36831.734375,35454.125000,36699.226563,36699.226563,26935315403
2024-01-25,36728.742188,37141.242188,36305.703125,36831.269531,36831.269531,20548650512
2024-01-26,36829.871094,36968.468750,36444.652344,36819.769531,36819.769531,17049792852
2024-01-27,36822.542969,38862.687500,36734.699219,38492.722656,38492.722656,23563248548
2024-01-28,38491.574219,38841.375000,38137.781250,38771.808594,38771.808594,10514898011
2024-01-29,38777.394531,39395.101563,38431.582031,38769.722656,38769.722656,15549147600
2024-01-30,38765.406250,39965.382813,38701.777344,39956.218750,39956.218750,19077561931
2024-01-31,39967.281250,40434.328125,39385.566406,39612.054688,39612.054688,21988487304
2024-02-01,39606.191406,40293.894531,39121.914063,39413.523438,39413.523438,22837367991
2024-02-02,39401.632813,39771.867188,38747.296875,39612.179688,39612.179688,19701317928
2024-02-03,39613.894531,40213.437500,39394.472656,39992.265625,39992.265625,17228088847
2024-02-04,39991.437500,40153.472656,39719.031250,39812.972656,39812.972656,10343279551
2024-02-05,39815.464844,39880.187500,39289.183594,39503.257813,39503.257813,13731491707
2024-02-06,39497.726563,40479.921875,39235.148438,39715.003906,39715.003906,17424025115
2024-02-07,39713.816406,40324.839844,39579.378906,40052.285156,40052.285156,15616166337
2024-02-08,40057.257813,41161.210938,39758.714844,41128.156250,41128.156250,19605874860
2024-02-09,41141.054688,42291.101563,41141.054688,42032.652344,42032.652344,24267239777
2024-02-10,42028.769531,44635.871094,42007.203125,43717.242188,43717.242188,36456475765
2024-02-11,43723.109375,44643.535156,43492.960938,44295.917969,44295.917969,15205677486
2024-02-12,44293.777344,45004.945313,44153.238281,44724.175781,44724.175781,17888096185
2024-02-13,44726.460938,46671.140625,44319.140625,46378.316406,46378.316406,32038925926
2024-02-14,46362.664063,46758.019531,45174.007813,46451.382813,46451.382813,33238143997
2024-02-15,46442.980469,48542.078125,46022.781250,48291.339844,48291.339844,36438018997
2024-02-16,48300.738281,49030.914063,47686.433594,48212.640625,48212.640625,35797869001
2024-02-17,48211.871094,48887.421875,47948.542969,48399.972656,48399.972656,26149030201
2024-02-18,48401.339844,48429.398438,47016.890625,47938.609375,47938.609375,18566635635
2024-02-19,47937.660156,48567.261719,47540.269531,48333.652344,48333.652344,16316334143
2024-02-20,48345.027344,48653.566406,47961.472656,48051.406250,48051.406250,19824256609
2024-02-21,48050.093750,48954.847656,46978.164063,48367.378906,48367.378906,30854694565
2024-02-22,48356.890625,48447.179688,46835.652344,47908.992188,47908.992188,26454709694
2024-02-23,47923.285156,48060.160156,47013.472656,47392.250000,47392.250000,23475734895
